id,lon,lat,name
1100069,7.938285,47.923967,"Oberried (D), Hintertal"
1100070,7.94095,47.928526,"Oberried (D), Surenhof"
1100071,7.947478,47.932068,"Oberried (D), Adler"
1100072,7.953289,47.934713,"Oberried (D), Sternen/Post"
1100073,7.953718,47.943966,"Oberried (D), Weilersbach"
1100074,7.952463,47.948399,"Kirchzarten, Geroldstal"
1100075,7.95459,47.959125,"Kirchzarten, Sportplatz"
1100076,7.95289,47.961724,"Kirchzarten, Krone"
1100077,7.955229,47.964305,"Kirchzarten, Grundschule"
1100078,7.959225,47.969294,"Kirchzarten, Bahnhof"
1100079,7.663838,47.614431,"Lörrach, Busbahnhof"
1100080,7.659606,47.614065,"Lörrach, Krankenhaus"
1100081,7.658955,47.611754,"Lörrach, Weinbrennerstrasse"
1100082,7.659881,47.608976,"Lörrach, Museum"
1100083,7.659615,47.606408,"Lörrach, Schillerstrasse"
1100084,7.658953,47.601825,"Lörrach-Stetten, Bahnhof"
1100085,7.656587,47.598931,"Lörrach-Stetten, Dammstrasse"
1100086,7.655817,47.595746,"Stetten (LÖ), Grenze"
1100087,7.715945,47.549996,"Herten (Baden), Markhof"
1100088,7.729183,47.555205,"Herten (Baden), St. Josefshaus"
1100089,8.067199,47.742907,"Ibach (D), Ibacher Kreuz"
1100090,8.034159,47.745239,"Ibach (D), Abzw. Lindau"
1100091,8.04578,47.747068,"Ibach (D), Abzw. Ibach"
1100093,8.099978,47.751899,"Ibach (D), Ibacher Kluse"
1100094,8.068163,47.734268,"Ibach (D), Unteribach Kirche"
1100095,8.060007,47.743575,"Ibach (D), Sägewerk"
1100096,8.051211,47.743892,"Ibach (D), Schaltenbuck"
1100097,7.82142,47.647853,"Schopfheim, Busbahnhof"
1100098,7.815024,47.647953,"Schopfheim, Friedhof"
1100099,7.803675,47.647565,Gündenhausen
1100100,7.788295,47.647606,"Maulburg, Firma Busch"
1100101,7.78567,47.646512,"Maulburg, Blostweg"
1100102,7.781373,47.64464,"Maulburg, Bahnhof"
1100103,7.779173,47.641332,"Maulburg, Rathaus"
1100104,7.771755,47.627801,"Maulburg, Berghöfe"
1100105,8.127102,47.761139,"St. Blasien, Busbahnhof"
1100106,8.12,47.768915,"St. Blasien, Schwimmbad"
1100107,8.098427,47.782619,"St. Blasien, Glashof"
1100108,7.780321,47.608601,"Minseln, Schlossstrasse"
1100109,7.78499,47.607517,"Minseln, Adler"
1100110,7.790666,47.603114,"Minseln, Feuerwehrhaus"
1100111,8.083467,47.792326,"Menzenschwand, Abzw M. Brücke"
